symbol,average_volume
LFST,2313540.4
CEG,2306749.8
ROST,2295154.3
ALGM,2284033.2
ENTG,2261425.6
LITE,2245949.3
SFIX,2235857.7
RYAAY,2223838.5
ISRG,2205523.2
KBWB,2205018.2
EXEL,2199511.111111111
CME,2198982.7
CEPO,2192503.3
TECH,2182277.777777778
ILMN,2175501.7
SLM,2166369.3
Z,2149606.4
PAYO,2126161.7
UPWK,2125960.4
PSEC,2121125.6
CRMD,2117017.1
PNFP,2106247.1
TRVI,2084178.9
ALKS,2078695.3
MDB,2075316.6
CRBU,2069818.4
INTR,2065467.0
DOCU,2030138.2
SSRM,2016448.0
COST,2001673.4
EVRG,1995721.6
INSM,1993027.0
WDAY,1966891.3
SBRA,1963354.4
EXAS,1951448.5
VSAT,1941662.6
GTX,1932189.8
BGC,1926886.8
DTST,1918236.2
SATS,1908332.4
BBIO,1908261.5
MIST,1894328.8
CTLP,1886071.3
AEHR,1878517.5
GH,1865911.111111111
BTSG,1839618.7
OCUL,1830948.2
TPG,1816338.4
WVE,1816289.3
TRMB,1805342.2
EBC,1803361.9
CRDF,1798835.1
TROW,1777093.9
NXT,1775837.9
TTWO,1772450.5
HLMN,1767116.3
SNDK,1759223.0
HSIC,1757286.9
SONO,1751260.8
LNT,1750554.5
NTRS,1742798.9
TEAM,1735804.2
SLDB,1722965.4
NTNX,1722111.5
AMGN,1721856.2
SMTC,1720377.7777777778
ZION,1719084.1
UNHG,1717172.8
EYE,1710931.0
FANG,1708460.8
TALK,1706888.0
VRAR,1700912.9
URBN,1685181.7
HTHT,1681988.4
AVAV,1681268.7
WMG,1670016.0
EXLS,1666969.7
PAYX,1661580.2
OMER,1641969.0
LSCC,1625505.9
CLBT,1622608.1
BABX,1614877.6
TNXP,1614229.3
VBTX,1613971.4
CTAS,1602314.2
EH,1600840.0
ACVA,1596473.6
CENX,1595890.3
GSM,1584270.6
VCTR,1583247.8
NTAP,1564578.1
SDVY,1564377.7
HOLX,1557582.5
CERT,1544367.0
CLNE,1531814.1
WYNN,1528920.6
AUPH,1526493.3
VIAV,1522502.6
ADPT,1520888.2
SNY,1520022.6
ACAD,1513000.0
TTEK,1512987.2
SGRY,1508066.1
MAGS,1503907.3
VCYT,1502837.0
LEGN,1499223.3
CDNS,1498185.5
WSC,1494787.6
TGTX,1489614.5
LZ,1476544.8
BTCT,1475557.7
CGNX,1454652.5
VRNS,1451802.6
RVMD,1446975.9
ADSK,1433325.2
SAIL,1433054.5
WAY,1432285.2
MIRA,1422265.2
CAKE,1412068.6
ASO,1401070.5
MMYT,1399297.8
ADTN,1397085.0
GFS,1395855.6
STGW,1391385.1
AVXL,1391132.7
UDMY,1381249.2
PRCT,1366327.3
IMUX,1362615.7
NTRA,1362121.3
ZS,1361797.8
ASMG,1359423.6
ORGN,1355689.4
NN,1355532.5
ODFL,1352084.3
ARQT,1340188.4
XERS,1339248.0
INTU,1334711.4
JBHT,1323869.6
STLD,1316638.4
IONS,1311256.8
EXPE,1310602.5
MAR,1302769.3
SPRY,1301728.7
LAUR,1300310.1
VUZI,1297698.1
IMRN,1294012.2
CALM,1291534.5
MNMD,1278190.2
SSNC,1276183.1
OLPX,1272931.8
GGAL,1272202.0
XRPI,1269965.4
GRFS,1263320.5
INCY,1261176.4
VNOM,1253297.6
AISP,1251812.4
GLBE,1250722.0
CRON,1247003.9
NWBI,1245882.9
TVTX,1245522.2222222222
TIGO,1243849.3
PPBI,1243526.6
PINC,1228250.6
NCNO,1227594.7
OZK,1223250.7
BRZE,1222573.3
OPCH,1220117.8
AKAM,1219400.1
GLBKV,1218419.7777777778
FLYE,1212608.8
ATEC,1211845.5
ALDX,1211758.3
COOP,1210629.0
AAON,1208524.7
RZLT,1198604.0
FIVE,1191627.3
RMBS,1188365.7
SMPL,1182158.2
AQST,1176172.0
NMRK,1173421.2
PAGP,1171446.5
AVPT,1171439.3
REYN,1170798.8
AIOT,1169386.3
PRPL,1162938.6
PPC,1158917.7
SBLK,1154961.4
AVDX,1154919.3
CPRX,1154913.4
QURE,1154154.2
GOGO,1150485.9
DRS,1147019.2
TBBK,1145864.2
ETNB,1141769.2
ZVRA,1134157.4
HOPE,1132464.9
KALV,1128011.111111111
MOMO,1121594.7
ANGO,1119261.0
GLIBK,1115940.3
BSY,1112199.8
ADP,1108978.6
NATL,1108915.4
AXGN,1108722.4
TSYY,1108103.6
SLNO,1098761.7
CELU,1095024.5
SFM,1092940.5
GRAL,1087437.9
SSB,1085398.1
ETOR,1084285.8
IBB,1082831.4
SEIC,1082677.2
TERN,1082466.6666666667
ATAT,1080831.6
CGON,1080813.0
EWBC,1076410.7
ODD,1072888.3
MEDP,1071949.8
EXPD,1062437.1
DLO,1062311.2
MOBX,1060969.3
