symbol,returns
AACG,0.7615384968074834
AADR,0.293751092512112
AAL,0.09635667162370043
AALG,-0.1424505986784697
AAME,0.540068747829383
AAON,-0.05114305866097279
AAPB,-0.19330851038409536
AAPD,-0.010465655183826262
AAPG,1.2669737300574784
AAPL,-0.015320665917392525
AAPU,-0.20685368245336447
AARD,-0.043326402589302336
ABCB,0.10142548156390092
ABCL,0.5493807686408266
ABEO,0.30923693894674714
ABLLL,0.050528855446821376
ABLV,-0.10743800920098646
ABNB,0.015753131510668046
ABUS,-0.13756613356145828
ACAD,0.21386667887369792
ACB,-0.19782971420019518
ACDC,0.021303207901060234
ACGL,-0.05557559349116757
ACIC,-0.099607443407433
ACIW,0.039165667831910035
ACLX,0.14798716050268496
ACMR,0.7322984339795602
ACNB,0.14347324249084367
ACNT,0.27623760955215265
ACOG,0.7105263730275463
ACRS,0.24436084059217794
ACT,0.04686286687817326
ACTG,-0.2906541787023487
ACTU,-0.21022061999023287
ACVA,-0.1485613966316202
ADAG,-0.18606833586169114
ADBG,-0.1570491230310194
ADEA,0.18009812773066114
ADI,0.031158872477915076
ADMA,0.46682845180923827
ADP,0.2279353828519579
ADPT,1.4076575321207279
ADSE,-0.07586767619132508
ADSK,0.25592589580281405
ADTN,0.4790371947048271
ADUS,-0.11608378638889127
ADXN,0.06741572364828874
AEBI,-0.11001793044148807
AEHR,0.12594384946966658
AEI,0.1620294220622446
AEIS,0.3000698760726686
AENT,1.2699115646409211
AEP,0.15592766080781123
AFSC,-0.02905100408994879
AFYA,-0.21941285394829002
AGEN,0.005392962324132311
AGIO,-0.19038580479012732
AGIX,0.35640061362147685
AGMI,0.38756279910996855
AGNC,0.11060510056005385
AGYS,0.07123427583261384
AHCO,-0.1609498629837559
AHG,0.7682316666303441
AIA,0.3358024114177972
AIMD,-0.20959644394950316
AIOT,0.0033333036634657118
AIP,0.12529001601442682
AIQ,0.30471056992372403
AIRL,0.4122383398189493
AIRR,0.20543481409298064
AIRS,0.36145603806528687
AIRT,-0.01234564800327279
AIRTP,0.14769971647726907
AISP,0.5224089760255756
AKAM,-0.1821310987433528
AKRO,0.8530717559791002
ALCO,0.14834457388105457
ALDFU,0.051051075131781753
ALDX,0.35025383106579516
ALGM,0.46021053916529603
ALGN,-0.07907664843256418
ALGT,-0.019193517706909972
ALHC,0.36740646611208727
ALKS,-0.053724928219953914
ALKT,-0.14738124634894328
ALNT,0.4169025495988729
ALNY,0.38795077458309885
ALOT,-0.25551502267059145
ALRM,-0.20145323710666066
ALRS,0.08884192483875722
ALTI,-0.09812104257508791
ALTO,-0.2503846028053309
ALVO,-0.16680780669208023
ALYAF,0.38805967759225707
AMAL,-0.05876762275832506
AMAT,-0.06592789631100106
AMBA,0.30807128670507866
AMD,0.2392486408486136
AMDG,0.5834225913162641
AMDL,0.05876494137177361
AMGN,-0.05767729138848608
AMPL,0.5280700922721708
AMRN,-0.037782069040394585
AMSC,0.7759182988380899
AMSF,0.03285912366493751
AMST,0.1457508656865014
AMTX,-0.03982300480402873
AMZD,-0.2509667265860347
AMZN,0.2716430142938708
AMZU,0.2898492251896764
AMZZ,0.32257736323148983
ANAB,-0.2654053971574113
ANGH,-0.28571430334357983
ANGI,-0.24865472044853998
ANGO,0.1945169452740332
ANIP,0.04486067257803647
ANIX,0.0688524726000375
ANSS,0.20882305285363587
ANTA,-0.06250001396983841
ANTE,-0.24999996688630757
AOTG,0.38318458247262827
AOUT,0.003121819741654481
APED,0.7637795180985866
APEI,0.4572802163378067
APGE,-0.19689014357574405
API,0.5823293341888315
APLD,1.4334505501984136
APLMW,0.26153844169963786
APPF,0.1487205556912144
APPN,-0.1814814508323357
APPX,0.5909546353986692
APWC,0.14110430659283688
APYX,0.8702291257244922
AQST,0.04319370804620902
ARAY,-0.23664837983117737
ARBB,-0.048086570176845894
ARCB,-0.2842435258735523
ARDX,-0.22392084503092366
AREC,0.869918631423103
ARGX,0.19530113062722324
ARKO,-0.26413793024879895
ARLP,0.2310085452141914
ARM,0.15670950865060265
ARMG,0.006782260449198978
AROW,-0.10087707792875539
ARQ,-0.10078738206258732
ARQT,0.5757576180343905
ARTNA,-0.14501683565735157
ARTW,1.2382118985397887
ASLE,-0.06784661119648777
ASMB,0.2814600201611473
ASMG,-0.1545584620181937
ASML,-0.15255978036470957
ASND,0.2440595857701932
ASO,0.03142110772146075
ASPS,0.029629600849335268
ASRV,0.22286237189873323
ASTE,0.18484429098137484
ASTL,-0.27040790806580955
ASUR,0.015594526690331918
ASYS,-0.1545936437436604
ATAI,1.0886075080271986
ATAT,1.1971174050321531
ATEC,0.10100002288818359
ATLC,0.4236544519625321
ATLO,-0.05785710169256024
ATOM,0.656823903216454
ATPC,-0.24994320625577843
ATRA,0.11442313247178637
ATRC,0.48531428347093
ATRO,0.5257034031817174
ATXG,-0.19424459259367255
AUBN,0.6108696762252476
AUDC,0.03166465466696816
AUMI,0.6489152296943099
AUPH,0.5704225961047272
AUR,0.4810427276623532
AURA,-0.2623115283124824
AVAH,-0.10431820469946851
AVAV,0.5269769998684511
AVBP,-0.029981531797999818
AVDX,-0.21434266877888428
AVGO,0.9723974662131446
AVGX,1.0884295245443083
AVIR,0.024934391085823307
AVL,0.7709333005469481
AVNW,-0.2214381754672283
AVO,0.0908273596471405
AVPT,0.6851691694290938
AVT,0.04488709138717873
AVXL,0.6448863617121434
AWRE,0.14174997806549072
AXGN,0.496071846463356
AXON,1.3667800063840008
AXSM,0.19769513783579715
AZN,-0.06146475702641733
BABX,0.8450521345075697
